"Paper ID","Citation (Author, Year)","Title","DOI/URL","Geographical variable","Sector / policy domain","Temporal variable","Research design & method","Unit of analysis","Temporal window of observation","Definition of adaptive governance (with page no.)","Primary theoretical framework(s)","Normative stance toward AG","Enablers of AG","Challenges of AG","Evidence of AG in practice","Indicators / operationalizations","Engagement with power & politics","Engagement with equity / justice / legitimacy","Mechanisms of AG","Institutional conditions enabling AG","Institutional conditions constraining AG","Relationship with related concepts","How AG is distinguished from related concepts","Level of governance","Type of evidence supporting AG claims","Key quotation(s) + page no.","Notes / Coding comments"
"40","Woiwode, C., et al. (2024)","Identifying entry points for adaptive governance in peri-urban Chennai (India): a multi-dimensional, multi-level, and multi-scalar approach","10.3389/frsc.2024.1368240","Peri-urban Chennai, India","Peri-urbanization / Water and agroecology","2024","Mixed methods using narratives, system syndrome analysis and pathways mapping","Peri-urban socio-ecological system","Past extreme climate events (e.g., 2015 floods)","Decision-making systems of formal and informal institutions and social networks able to adapt under uncertainty","ELSA Framework (Engaging, Learning, Situating, Acting)","Supportive / advocated","Niche projects; synergistic pathways; Policy Lab workshops","Speculative frontiers; hierarchical governance; fragmented syndromes","Adaptive niche projects in Chennai","Institutional innovation; policy change; new coordination arrangements","Examines authority capture and elite influence","Democratic inclusion; distributed agency; addressing inequalities","Pathways mapping; co-evolutionary partnerships; collaborative engagement","Synergy across local, intermediate and state levels","Siloed sectors; weak fiscal decentralization; top-down governance","Linked to sustainability transitions and adaptive development pathways","Distinguished from command-and-control governance","Multilevel","Narratives and pathways mapping","""Adaptive governance is in itself an adaptive development pathway. It is therefore both, means and end.""","Mixed-methods adaptive governance study in peri-urban India"
"41","Bagherzadeh et al. (2024)","Normative Assessment of Enabling Factors for Adaptive Water Governance: Evidence and Lessons from the Hirmand River Basin, Iran","10.1007/s00267-023-01896-9","Hirmand River Basin / Sistan Delta, Iran","Water governance","2024","Qualitative triangulated approach (surveys, interviews and document analysis)","Water governance regime elements","Contemporary observation window; 150 participants (17 interviewed, 133 questionnaire respondents); 128 official documents analysed; 49 scientific articles and 40 dissertations reviewed; references to recent decades and projections","Adaptive governance is a range of political, social, economic and administrative systems that develop, manage and distribute resources in ways that promote resilience through collaborative, flexible and learning-based management across scales","Resilience Thinking; Adaptive Management","Supportive / advocated","Learning; science-policy dialogue; documentation of traditional knowledge","Rigidity trap; state-centric paradigm; over-legislation syndrome","Revival of traditional qanat management systems","Stakeholder deliberation; learning; policy development; legal and financial dimensions","Examines power struggles between ministries and hierarchical state-centred governance","Equity enhancement; institutional trust; inclusion of marginalized groups","Monitoring; feedback loops; information sharing","Supportive legislation; community self-organization","Fragmented governance; inflexible financial systems; procedure-bound bureaucracy","Adaptive Management; Adaptation; Complex water systems","Adaptive governance is presented as the social context enabling Adaptive Management","Multi-level (National, Provincial, County, Local)","Triangulated evidence from 133 surveys, 17 interviews and 128 documents","""Adaptive governance is the social context that enables and facilitates the implementation of Adaptive Management.""","Empirical normative assessment of adaptive water governance in Iran"
"42","Paes, D. C. A. S., et al. (2024/2025)","Adaptive governance in conservation units in Rondônia, Brazil","https://doi.org/10.1590/1982-7849rac2024240193.en","Rondônia, Brazil","Conservation units / Natural resource management","2024–2025","Theoretical-empirical qualitative study","Management councils and conservation unit residents","Empirical observation drawing on documents/plans from 2003-2019 and interviews reflecting changes since 2017/2021; specific fieldwork window not explicitly stated","Evolution of rules and norms enhancing flexibility, resilience and capacity for change","Ostrom's Common-Pool Resource Theory; Dietz's Adaptive Governance Requirements","Supportive / advocated","Self-organizing collaboration; social capital; community empowerment","Low formal education; information dissemination difficulties; uncertainty","Management councils in Brazilian conservation units","Information provision; conflict management; rule compliance; institutional flexibility","Discusses authorized decision-making and compliance","Stakeholder coordination and community engagement","Rule enforcement; compliance monitoring; sanctions","Learning and rule revision","Hierarchical guidance structures","Linked to socio-ecological systems; self-governance; collective action","Distinguished from intentional governing/control","Management councils","Meeting minutes, legislation and stakeholder interviews","""Governance can be understood as a mode of social coordination, distinct from the act of governing.""","Qualitative study of adaptive governance in conservation units"
"43","Prakash, A., George, R., & Barua, A. (2025)","Socio-hydrological frameworks for adaptive governance: addressing climate uncertainty in South Asia","10.3389/frwa.2025.1556820","South Asia","Socio-hydrology / Water management","2025","Methodological evaluation of IAMs, ABMs and System Dynamics models","Human-water systems","Not reported","Flexible and responsive approach acknowledging environmental uncertainty and complexity","Socio-hydrology","Supportive / advocated","Digital visualization technologies; modelling frameworks","Climate-driven hydrological uncertainty","""Participatory Irrigation Management"" program in Maharashtra empowering farmers; community-based water management projects in India; Nagaon district, Assam (surface-to-groundwater shift; dyke/aali construction); Nashik, Maharashtra participatory watershed development; traditional tank water-harvesting systems (PRA, WUAs rehabilitation); Con Dao Island, Vietnam water-supply resilience; drought-prone Pacific Island Countries; Kumar et al. riverine islands (Fraserganj, Dakshin Bedkashi)","Behavioural adaptation; dynamic feedback; socio-economic variables","Examines power and political economy in water governance","Advocates multiple voices and equity","Scenario planning; Agent-Based Modelling; System Dynamics","Understanding social norms and economic drivers","Historical and institutional system constraints","Linked to climate resilience","Socio-hydrology positioned as a novel science distinct from IWRM, CHANS, SES, hydro-sociology, and ecohydrology by treating human involvement as endogenous/internal, emphasizing two-way feedback and co-evolution, and forming a ""supra system""; adaptive governance distinguished from traditional centralized, technocratic, siloed governance and from static scenario-based models by being flexible, dynamic, participatory, and iterative under uncertainty","Multilevel; local/community-driven initiatives, national policy, regional (South Asia) cooperation, and transboundary/international river management","Review of modelling frameworks","""Adaptive governance refers to a flexible, responsive approach to managing natural resources that acknowledges environmental systems' inherent uncertainties and complexities.""","Conceptual methodological review"
"44","Akther, S., & Evans, J. (2024)","Emerging attributes of adaptive governance in the Global South","10.3389/fenvs.2024.1372157","Global South (Africa and South Asia)","Environmental governance","2003–2022","Systematic literature review (PRISMA) of 32 empirical studies","Adaptive governance literature in the Global South","2003–2022","Emergent approach to environmental governance coordinating resource management under complexity and uncertainty","Adaptive governance theory/scholarship drawing on Dietz et al. (2003), Folke et al. (2005), Olsson et al. (2007), Chaffin et al. (2014), Sharma-Wallace et al. (2018); socio-ecological systems (SES) framework; concepts of adaptive capacity, polycentricity, social learning; Global North/Global South comparative framing; ""theoretical multiplicity"" (Karpouzoglou et al., 2016) (p.01-p.02, p.04)","Supportive / advocated","Transnational donors; social movements; local leaders","Institutional mismatch; corruption; centralized bureaucracy; lack of political will","Synthesis of 32 empirical studies","Polycentricity; community involvement; monitoring; feedback; leadership","Power-sharing between organizations and communities","Fair resource sharing; accountability; downward accountability","Multi-level learning; formal and informal networks; social learning","Windows of opportunity (e.g., crises such as COVID-19)","Rigid top-down control; decision-making capture","Linked to adaptive management and adaptive co-management","Distinguished from adaptive management by emphasizing broader social contexts","Local, regional and national (multi-level)","Systematic review of 32 empirical studies","""Adaptive governance (AG) is an emergent approach to environmental governance to coordinate resource management regimes in the face of complexity and uncertainty.""","Systematic review of adaptive governance in the Global South"
"45","Spencer, M., & Alexandra, J. (2024)","Adaptive governance of large, complex ecosystems – such as the Gippsland Lakes","10.1071/RS24003","Gippsland Lakes, Australia","Coastal adaptation / Sea level rise","2024","Conceptual / discursive perspective paper (based on a paper presented at the Royal Society of Victoria, May 2023); literature-based argumentation drawing on the Gippsland Lakes as an illustrative example; no new empirical data (""Data sharing is not applicable as no new data were generated or analysed during this study"", p.4)","The governance model(s) and institutional arrangements for a large, complex social-ecological system (the Gippsland Lakes and their catchments)","Not reported","Approaches focusing on the capacity of decision-making rather than specific outcomes under deep uncertainty","Adaptive Governance Models; Dynamic Adaptive Policy Pathways (DAPP)","Supportive / advocated","Understanding interdependencies among institutions, values, and knowledge","Incremental approaches maintaining the status quo rather than transformative change","Adaptation pathway testing for sea level rise in Lakes Entrance","Monitoring critical developments and policy tipping points","Mentioned; power and politics appear via ""geopolitical polarities"", neo-liberalism, colonisation-derived institutions, institutional inertia and the call for democratic deliberation and mobilising communities, but power is not a central analytical concern","Addresses evolving societal preferences and perspectives","Monitoring; iterative revision; addressing systemic drivers of vulnerability","Integrative rather than siloed institutional structures; participatory/deliberative planning processes; institutions responsive to emerging social-ecological understanding; capacity for transformative change; arrangements that bring stakeholders together for joint decision-making (p.2-3)","Incremental status-quo strategies","Linked to Resilience Thinking and Planetary Boundaries","Distinguished from traditional predict-and-plan approaches","Multilevel (local/regional catchment scale of the Gippsland Lakes within Victorian/state and Commonwealth institutional contexts), with primary emphasis on regional/local governance","Theoretical/conceptual; argument drawing on existing literature with an illustrative regional example (Gippsland Lakes; Lakes Entrance adaptation pathway); no new empirical data","""Adaptive approaches focus on the capacities of the decision-making process rather than specific outcomes."" (p.5)","Conceptual application of Dynamic Adaptive Policy Pathways"
"46","Amrullah, Sobri, Andries, & Raniasa (2024)","Public Information Disclosure and Adaptive Governance: An Emerging Market Case","https://doi.org/10.22495/clgrv6i4p1","South Sumatra, Indonesia","Public information disclosure","2018–2020","Qualitative interviews, observation, documentation analysis, and NVivo analysis","South Sumatra Provincial Information Commission","2018–2020","Governance adapting to environmental changes and societal demands","Adaptive Governance Theory","Supportive / advocated","Technology integration; information inclusivity; integrated management systems; accessibility","Government resistance; limited accessibility; low digital literacy","South Sumatra Provincial Information Commission responding to 209 information requests","Timeliness; completeness; reliability; accuracy; communication style; ICT use","Maintaining balance of power between government and citizens","Transparency; fairness; information inclusivity","Continuous improvement; community feedback; capacity building","Government–private sector–civil society collaboration","Government resistance; fragmented information systems","Linked to accountability and public participation","Distinguished from static governance arrangements","Provincial / Local","Qualitative case study","""Adaptive governance recognizes the complexities and dynamics of a changing environment."" (p.9)","Empirical governance study of public information disclosure"
"47","Herrera Leal J.F.; Zielinski S.; Milanes C.B. (2024)","Community-Based Adaptive Governance Model for Colombian Tourist Beaches: The Case of Playa Blanca in Santa Marta, Colombia","10.3390/w16233487","Colombia; Playa Blanca, Punta Gaira/Gaira township, El Rodadero, District of Santa Marta, Department of Magdalena, Colombian Caribbean coast","Marine-coastal governance / Beach ecosystems","2024","Qualitative social research methodology; content analysis as primary technique; three-stage design (theoretical argumentation, model design, implementation/validation); DPSIR model; ASAS procedure; two expert panels (15 national/international experts); eight community workshops, assemblies and committee meetings; Interest-Power Matrix; two surveys (survey 1: n=500 tourists/community, random sampling, ~98% confidence; survey 2: n=85 of 202 registered beach workers, 95% confidence, 8% margin)","The Playa Blanca tourist beach socio-ecosystem as a single case; the GABCO-PLAYTUR adaptive governance model; key stakeholders/actors (community/tourism service providers, institutions, private enterprises) and their integration in decision-making","Empirical observation spans 2008-2024, with model application/validation focused on 2020-2024 and baseline comparison to 2008; ICZM program observed 2008-2010, stagnation 2015-2020","Defines its own construct: ""the term Adaptive Governance Based on Tourist Beach Communities (GABCO-PLAYTUR) is defined ... as a decision-making process regarding the socioecosystem of tourist beaches. This process integrates management approaches, scientific findings, and the active participation of institutions, communities, and public and private enterprises, all aimed at ensuring the sustainability of the ecosystem and enhancing the quality of life of coastal communities"" (p.13); adds ""GABCO-PLAYTUR is a flexible and adaptive model grounded in scientific principles and citizen participation"" (p.13); described as needed to ""enable integrated, rapid, and flexible responses"" (p.24)","Integrated coastal zone management (ICZM); sustainable development (environmental sustainability, economic prosperity, social cohesion, social inclusion, governance); marine-coastal governance; macro-meso-micro social levels of analysis; DPSIR (Driving Forces-Pressure-State-Impact-Response) framework; ASAS procedure; social capital theory; Mindsponge theory (Discussion)","Supportive / advocated","Participation; leadership; integration platforms","Complex marine governance systems","Empirical case of Playa Blanca 2008-2024: implementation and validation of GABCO-PLAYTUR; organized beach community with board of directors, community leader and Playa Blanca Oversight Committee (veedura); 24 hearings/year, ten community assemblies; increased stakeholder participation (166% increase); collaboration between community and private enterprise; attainment/retention of Blue Flag certification; beach zoning, solid waste and risk management systems; documented progress-stagnation-regression trajectory across phases","Model operationalized via 5 steps, 5 dimensions, 17 guidelines, and 22 indicators of observed changes (Appendix A); ASAS four stages (Alignment, Synchronization, Harmonization, Solidarity); DPSIR framework; Interest-Power Matrix (high 60-100, medium 50-59, low <50); nominal scales (low/medium/high) and progress/stagnation/regression scale; governance survey indicators (policies implemented, community participation, beach cleanliness rating, compliance with coastal regulations; Tables 1-2)","Discusses power distribution","Transparency; community participation","Learning; adaptive incentives","Spaces for agreement and integration","Governance complexity; lack of transparency","Linked to Integrated Coastal Management and Governmentality","Distinguished from passive governance concepts","National, international, and local","Mixed: single in-depth case study with empirical survey and participatory data, combined with theoretical/conceptual model development grounded in literature review","""Adaptive governance seeks to guide decision makers and citizens toward sustainable management.""","Empirical single-case study (Playa Blanca) plus conceptual model-building; adaptive governance is the dominant analytical frame (the GABCO-PLAYTUR ""adaptive governance model""), so retained despite coastal/ecological subject matter; strongly normative/advocacy tone toward its own model; data availability limited (derived from an ""undefended doctoral dissertation""); page numbers cited from MDPI ""x of 36"" pagination"
"48","Nikkanen, M., Räsänen, A., & Juhola, S. (2024)","Adaptive governance of disaster preparedness? The case of regional networks in Finland","https://doi.org/10.1016/j.ijdrr.2024.104549","Finland","Disaster preparedness","2024","Qualitative directed content analysis of interview data","Regional preparedness network model","Interviews carried out in 2021 and 2022; interviewees reflect on network operation over preceding years (e.g., EKTURVA since 2011)","Political, social, economic, and administrative systems promoting resilience through collaborative, flexible, and learning-based management across scales","Adaptive Governance (Folke; Chaffin et al.)","Neutral / analytical","Networking; peer learning; nested multilevel cooperation","Voluntary participation; unclear responsibilities; citizen exclusion","Finnish regional preparedness networks","13 adaptive governance features including collaboration, learning, flexibility, polycentricity, experimentation","Mentioned; the paper cites Cleaver and Whaley's critique that AG is ""fundamentally optimistic about reaching consensus between different interests and not paying attention to power structures"" and notes networks reflect a naive assumption of finding common solutions, but power/politics is not the central analytical concern; notes some threats are ""non-political"" while immigration/school violence cause disagreement","Citizen exclusion noted as limiting effectiveness","Multiple-loop learning; reflexive checkpoints; decentralized decision-making","Cross-scale governance; decentralized decision-making","Ambiguous division of responsibilities","Linked to Resilience Thinking and Comprehensive Security","Distinguished from predict-and-control governance","Regional and national","Empirical qualitative interviews","""Regional networks embody many features of adaptive governance..."" (p.4)","Empirical study of Finnish preparedness networks"
"49","Kirschner et al. (2024)","Governance drivers hinder and support a paradigm shift in wildfire risk management in Italy","10.1007/s10113-023-02174-4","Mediterranean Europe (Italy, Spain, Portugal)","Wildfire management / Forest governance","2018–2021","Participatory case studies and simulation modelling","Wildfire governance strategies","Not reported","Not explicitly defined; linked to adaptive governance of social-ecological systems","Adaptive Governance; Socioecological Pathology","Supportive / advocated","Participatory processes; democratic strategy development; collaboration","Failures of political decentralization; fragmented governance","Sardinia wildfire exposure assessments; Montseny participatory governance","Democratization; institutional fit","Discusses decentralization failures","Democratization and local participation","Simulation modelling; participatory knowledge integration","Collaboration across fragmented governance systems","Fragmented governance and media framing","Linked to ecological pathology and institutional fit","Not reported","Local and regional","Participatory case studies and simulation modelling","Not reported","Comparative wildfire governance study"
"50","Morriss (2024)","Credible Commitments, Adaptability, and Conservation Easements","Not reported","USA (Texas, South Dakota, Montana, Colorado) and international financial centres","Conservation easements; Land preservation","2024","Legal and economic analysis","Conservation easements","Not reported","No explicit definition reported","Hayekian evolutionary theory; Austrian Economics (Kirzner); Credible Commitments","Supportive / advocated","Entrepreneurial discovery; jurisdictional competition","Permanent (""dead hand"") conservation restrictions; inability to adapt conservation goals","Proposed amendments to conservation easements responding to ecological and social change","Environmental Rule in Hastings-Bass doctrine","Critiques legislation shaped by contingent political interests","Fiduciary obligations; distributive justice","Course corrections; entrepreneurial adaptation; use of dispersed knowledge","State-level regulatory systems; legal mechanisms supporting long-term adaptation","Perpetuity requirements governing charitable conservation easements","Adaptation; Conservation","Not explicitly distinguished","State; National; International","Legal and economic theoretical analysis","""Perhaps the greatest gift we can give... is the power and flexibility to adapt the world we have created...""","Conceptual legal analysis of adaptive mechanisms in conservation easements"
"51","Clement et al. (2024)","To burn or not to burn: governance of wildfires in Australia","https://doi.org/10.5751/ES-14801-290108","Australia; Western Australia; Point Henry Peninsula (the Peninsula) in the Great Southern Region; Shire of Jerramungup; near Bremer Bay; adjoining Fitzgerald River National Park / Fitzgerald Biosphere (p.1, Study Area Background)","Wildfire governance","Case events span 2002 (burnover) and 2012 (FRNP fire / ""indefensible"" declaration) through the policy process commencing 2013; DFES-funded positions 2013-2019; ecological assessment 2015; firebreak notice phased 2016-2019; survey July 2018; research project December 2018; references longitudinal burn data 1953-2005 (Study Area Background; Methods)","Qualitative single-case study using mixed methods; data sources: planning/policy documents, site visits, 21 semi-structured key stakeholder interviews (14 government/expert actors, 7 landowners) analyzed via thematic analysis, qualitative social network analysis, and a landowner attitudinal survey (104/180 respondents, 59%); snowball sampling (Methods, p.5-6)","A single local wildfire governance process/case: the emergent wildfire risk management planning process on the Point Henry Peninsula, its policy network, actors, and landowners (Methods; Results)","Empirical observation focused on the policy process from 2013 to 2019, with primary data collection (interviews, site visits, survey) in 2018; research project led December 2018 (Methods, p.5)","Not explicitly defined; adaptive governance presented as a reform strategy","Adaptive Governance; Resilience Thinking","Supportive / advocated","Policy entrepreneurs; institutional work","Reduced effectiveness of traditional management under extreme conditions","Southwest Australia wildfire management","Programme evaluation; preparedness; resilience indices","Central analytical concern; the paper analyzes power/politics through rigidity traps, path dependency, top-down state mandates and burning targets, devolution of responsibility, ""shared responsibility"" used to diffuse blame (Lukasiewicz et al. 2017), policy networks, entrepreneurial leadership, and the framing of problems shaping outcomes (Introduction; Discussion)","Addresses social vulnerability","Shared responsibility; institutional learning","Institutional work supporting biodiversity and fire management","Increasing extreme environmental conditions","Linked to transformative governance and adaptive co-management","AG is framed as integrating resilience principles into governance and as encompassing a ""family"" of governance models; distinguished from a narrow, technical, top-down hazard-reduction approach (""walled off"" from other considerations) and from command-and-control styles; resilience is broadened beyond mere recovery to include adaptation and transformation, which is ""central to AG"" (p.2); AG favors decentralization, flexibility, reflexivity, polycentric multi-scale networks rather than prescriptive top-down mandates; the case is noted as ""a departure from the ideal forms of AG"" (Conclusion)","Multilevel","Empirical case study evidence (mixed-methods: qualitative interviews, documents, site visits, and a landowner survey) contextualized against AG theory; single-case design with acknowledged limits on generalizability (Methods; Discussion)","""Here, we describe a case study where features of adaptive governance emerged organically from a dedicated planning process for wildfire governance in Australia"" (Abstract, p.1); ""moving toward AG generally requires selforganizing networks of local actors, entrepreneurial leadership, and some level of autonomy for environmental managers on the ground (Clement et al. 2016a)"" (p.3); ""the policy process that evolved reflects many of the attributes of AG"" (Conclusion, p.13)","Empirical single-case study (not conceptual), with AG as the dominant analytical frame - clearly meets inclusion criteria; published in Ecology and Society, peer-reviewed research article; strong normative advocacy for AG while candidly noting fragility and that the case falls short of ""ideal"" AG; page numbers limited (article printed as Ecology and Society 29(1):8), so section headings used for citation. AG emerged organically rather than being intentionally designed. Note apparent OCR artifacts in original text (e.g., ""12 years"" for what reads as 1-2 years; garbled diacritics in references)."
"52","Adams et al. (2024)","Realising transformative agendas in cities through mainstreaming urban nature-based solutions","10.1016/j.ufug.2023.128160","Metropolitan Melbourne, Australia","Urban forestry / Nature-based solutions","2012–2032","Qualitative empirical case study","Urban forestry governance","2012–2032","Not explicitly defined; linked to embedding novel thinking into governance and practice","Adaptive Governance; Sustainability Transitions; Institutional Change","Supportive / advocated","Intermediaries; knowledge co-production; innovation spaces","Policy fragmentation; scale mismatches","Living Melbourne strategy","Mainstreaming mechanisms and drivers","Not reported","Addresses biodiversity conservation","Transformative learning; scaling-up","Governance intermediaries","Scale mismatches; mainstreaming paradox","Linked to climate adaptation and urban transformation","Not reported","City / Metropolitan","Empirical urban governance case study","Not reported","Urban nature-based solutions governance study"
"53","Rubin et al. (2024)","Transboundary Aquifer Management Across the Americas: Hydro-Diplomacy as an Accelerator of Adaptive Groundwater Governance Amid Climate Change Challenges","10.3390/w16213117","Global","Water resources governance / IWRM","2024","Review and indicator assessment","Transboundary river basins","Not reported","Not explicitly defined; linked to learning-based governance and Governing the Commons","Integrated Water Resources Management (IWRM); SES Framework","Supportive / advocated","Stakeholder management; operational cooperation arrangements","Groundwater politics; overexploitation","SDG Indicator 6.5.2 operational arrangements","SDG Indicator 6.5.2","Discusses power in transboundary cooperation","Not reported","Conflict management; operational cooperation","Legally binding operational arrangements","Extractivism; groundwater politics","Linked to water diplomacy and resilience","Not reported","International / Transboundary","Indicator assessment and transboundary analysis","Not reported","Review of transboundary water governance"
"54","Islam, M. T., & Chadee, D. (2024)","Adaptive governance and resilience of global value chains: A framework for sustaining the performance of developing-country suppliers during exogenous shocks","10.1016/j.ibusrev.2023.102248","Developing country context","International business / Global value chains","2024","Two-stage Structural Equation Modelling (SEM)","The supplier firm; specifically developing-country (Bangladeshi) suppliers embedded in apparel GVCs (firm-level responses from top management team members)","Post-COVID-19","Hybrid governance combining contractual and relational governance","Composition-based view (CBV) of the firm (Luo & Child, 2015) as the overarching lens; contrasted with resource-based view (RBV) and transaction cost economics (TCE); GVC governance literature (contractual vs relational governance); resilience literature; adaptive governance concept drawn from Gallopin (2006) and Holling (1978)","Supportive / advocated","Resource reconfiguration; disruption orientation","Global value chain disruptions","Statistical testing of governance variables","Contractual governance and relational governance scales","Addresses inter-firm power asymmetry","Fair sharing of resources","Resource reconfiguration","Contractual and relational governance working together","Viewing contractual and relational governance as trade-offs","Linked to resilience and firm performance","AG is distinguished as a hybrid/composite that transcends the conventional treatment of contractual and relational governance as ""discrete and mutually exclusive"" modes; unlike pure contractual (rigid) or pure relational (flexible) governance, AG holds both coexisting and mutually reinforcing; AG is positioned as an antecedent distinct from resilience (which is the mediating capability/outcome), so AG alone is insufficient without resilience; CBV distinguished from RBV/TCE as better able to explain coexistence of the two governance forms","Inter-firm / Micro-level","Structural Equation Modelling","""Adaptive governance... where contractual and relational norms and rules of exchange co-exist and reinforce each other."" (p.6)","Quantitative study of adaptive governance in supply chains"
"55","Morgan, M., et al. (2023)","Adaptive governance strategies to address wildfire and watershed resilience in New Mexico's Upper Rio Grande watershed","1268","","Wildfire and watershed resilience","2011 (Las Conchas fire) to 2022; forward-looking to 2034 (600,000-acre restoration goal) and next 50 years of climate projections","Case study informed by systematic review of empirical studies","Rio Grande Water Fund (RGWF)","Empirical observations of the RGWF from its founding context (2011 Las Conchas fire) and formal creation (2014 charter) through 2021-2022 (accomplishments reported through 2021/2022)","Regulatory processes, mechanisms, and organizations through which actors influence actions and outcomes","Adaptive Governance; Resilience Thinking","Supportive / advocated","Meaningful collaboration; coordination; social capital; community empowerment; capacity development; leadership","Surface-level adoption of isolated governance strategies","Rio Grande Water Fund","Ten key adaptive governance characteristics operationalized in Table 1 as diagnostic questions: (1) meaningful collaboration across actors and scales; (2) effective coordination between stakeholders and levels; (3) building social capital; (4) community empowerment and engagement; (5) capacity development; (6) linking knowledge and decision-making through data collection/monitoring; (7) promoting leadership capacity; (8) exploiting or creating governance opportunities; (9) maintaining legitimacy; (10) strong organizational identity; RGWF's own three metrics: dollars raised, acres treated, number of signatories; grouped into four themes","Mentioned; power discussed via characteristic of ""uneven power dynamics acknowledged and addressed"" (Table 1, social capital) and power sharing within legitimacy; politics of prescribed burning noted as a challenge; not a central analytical concern","Inclusive participation; community engagement","Iterative learning; monitoring; knowledge integration","Stakeholder coordination and multi-actor participation","Traditional governance approaches","Linked to resilience and sustainability","Distinguished from traditional governance through flexibility and responsiveness","Multilevel; spans local, tribal, state, and federal actors coordinated at the watershed scale, with links to national policy (Infrastructure Investment and Jobs Act, USFS strategy)","Case study and systematic review of 81 empirical cases","""Adaptive governance places an emphasis on... flexibility, resilience, and responsiveness to change."" (p.3)","Empirical watershed governance case study"
"56","Li, Z., Yarime, M., & Wu, X. (2023)","Policy designs for adaptive governance of disruptive technologies: the case of facial recognition technology (FRT) in China","https://doi.org/10.1080/25741292.2022.2162248","China","Disruptive technologies / Facial Recognition Technology (FRT)","2023","Case study analysis of FRT policy development and deployment","Policy design for disruptive technologies","Empirical material spans approximately 2011-2022 (patent counts 2011-2021; regulatory timeline through July 2022; market data 2021); searches conducted August 2022 (p.30 footnote)","Framework for managing uncertainties associated with the development and use of disruptive technologies","Adaptive governance framework (applied to disruptive technologies); disruptive technology concept; policy design; supporting concepts of regulatory sandbox, policy mix, and polycentric/stakeholder governance","Supportive / advocated","Regulatory sandboxes; soft standards and hard laws; mandatory risk disclosure","Strict regulation; unintended consequences; technological uncertainty","China's parallel standards-and-law approach to FRT regulation","Collaboration scope; participation breadth; stakeholder representation","Addresses regulatory capture and representation","Public deliberation and participation in public uses","Regulatory sandboxes; stakeholder engagement; user feedback collection","Public deliberation; accessible feedback platforms","Reliance on traditional regulation; limited collaboration and participation","Linked to AI applications and big data technologies","AG distinguished from conventional regulatory approaches: unlike static regulation it emphasizes flexibility, learning, balancing risks and benefits, stakeholder cooperation and participation, and adapting to different stages of technology development; regulation alone becomes outdated and can over- or under-regulate, whereas AG maintains flexibility to cope with uncertainty (pp.29-30, 35)","National and local","Qualitative synthesis of policy responses","""Adaptive governance can provide an important framework for resolving these issues..."" (p.37)","Case study of adaptive governance for disruptive technologies"
"57","Ford, Z. E., Jackson, S., Bino, G., Brandis, K. J., & Kingsford, R. T. (2023)","Scale, evidence, and community participation matter: Lessons in effective and legitimate adaptive governance from decision making for Menindee Lakes in Australia's Murray–Darling Basin","https://doi.org/10.5751/ES-13594-280115","Menindee Lakes, Australia","Water governance / Wetland sustainability","1880-2019 rainfall/flows (139 yrs); waterbird surveys 1983-2019; three development phases (pre-development 1881-1959; development 1960-2008; water recovery 2009-2020); policy events 1990s to project suspension late 2021.","Mixed-methods study combining quantitative social-ecological analysis and qualitative stakeholder analysis","Menindee Lakes governance system","Rainfall/flow 1880/1881-2019 (hindcast to 1883); waterbirds 1983-2019; documents up to business case (2017); community interviews/survey conducted for study; project suspended late 2021.","Flexible governance systems supported by legitimacy in decision-making","Adaptive Water Governance","Supportive / advocated","Community dialogue; information exchange; transparency; scientific rigour","Spatial governance mismatch; top-down governance; technocratic approaches","Assessment of the New South Wales ""water savings"" project","Stakeholder perceptions; ecological sustainability","Critiques top-down governance and basin-scale political priorities","Focuses on local communities and Traditional Owners","Community dialogue; information exchange; scientific evidence","Administrative transparency and accountability; accessible documentation/free information; inclusion of community dialogue and local knowledge; flexible governance matched to biophysical scale; recognition of native title/Indigenous rights; multilevel arrangements coordinating government and non-government actors; peer-reviewed evidence and independent expertise.","Basin-scale objectives overriding local environmental sustainability","Linked to social-ecological complexity","Not reported","State and basin level","Mixed-methods empirical analysis","""Accounting for this complexity requires flexible adaptive governance systems supported by legitimacy in decision-making processes."" (p.1)","Empirical evaluation of adaptive water governance"
"58","Pollard, S. R., Riddell, E., du Toit, D. R., Retief, D. C., & Ison, R. L. (2023)","Toward adaptive water governance: The role of systemic feedbacks for learning and adaptation in the eastern transboundary rivers of South Africa","https://doi.org/10.5751/ES-13726-280147","Eastern transboundary rivers, South Africa","Water resources governance","1998–2023","Longitudinal evaluative exploration of three case studies","Water governance experiments / River basins","Approximately two decades","Flexible and learning-based collaboration and decision-making involving state and non-state actors across multiple levels","Integrated Water Resources Management (IWRM); Adaptive Water Governance","Supportive / advocated","Systemic feedbacks; action learning; meta-governance; shared vision","Institutional hierarchies; legacy institutional complexity","Crocodile Basin governance platforms","Systemic understanding; governance praxis; strategy; multi-scale networks","Addresses institutional hierarchies","Promotes equitable, decentralized stakeholder-centred governance","Collaborative experimentation; systemic feedbacks; action learning","Meta-governance arrangements embedding learning","Legacy institutional hierarchies","Linked to resilience and social-ecological systems","Distinguished through reconciliation of AWG and IWRM","Multi-level","Longitudinal evaluative case studies","""Adaptive governance [is] flexible and learning-based collaborations and decision-making processes..."" (p.6)","Longitudinal study of adaptive water governance"
