"original value","iso codes","scale","row count"
"Netherlands; Vietnam (Mekong Delta) | Rhine Delta (Netherlands); Mekong Delta (Vietnam)","NLD,VNM","regional",2
"North America and Australia | North America; Australia","AUS","regional",2
"United Kingdom | United Kingdom (UK)","GBR","national",2
"Accra, Ghana","GHA","subnational",1
"Alaska (USA); Nunavut (Canada); Finland","USA,CAN,FIN","regional",1
"Argentina, Brazil and Uruguay","ARG,BRA,URY","regional",1
"Australia; Netherlands","AUS,NLD","regional",1
"Belarus","BLR","national",1
"Belgium; Denmark; Netherlands; USA","BEL,DNK,NLD,USA","regional",1
"Botswana","BWA","national",1
"Byron Shire (Australia); Florianópolis (Brazil)","AUS,BRA","regional",1
"Canada","CAN","national",1
"Canada (South Saskatchewan River Basin); Chile (Elqui River Basin); Argentina (Mendoza River Basin)","CAN,CHL,ARG","regional",1
"Central Northern Namibia (Outapi, Okahao, Oshikuku)","NAM","subnational",1
"Colombia; Playa Blanca, Punta Gaira/Gaira township, El Rodadero, District of Santa Marta, Department of Magdalena, Colombian Caribbean coast","COL","subnational",1
"Colorado, Columbia and Murray-Darling Basins","AUS","transboundary",1
"Eastern transboundary rivers, South Africa","ZAF","transboundary",1
"England, France, Sweden and the Netherlands","GBR,FRA,SWE,NLD","regional",1
"EU Neighbourhood (Lebanon and Gaza)","LBN,PSE","regional",1
"Finland","FIN","national",1
"Ghana","GHA","national",1
"Habitat 141 (Australia); Yellowstone to Yukon (North America)","AUS,USA,CAN","regional",1
"Hirmand River Basin / Sistan Delta, Iran","IRN","transboundary",1
"India","IND","national",1
"Indus Basin, Pakistan","PAK","transboundary",1
"Iraq (implied by author affiliations)","IRQ","national",1
"Ireland (three cities)","IRL","subnational",1
"Johor State, Malaysia","MYS","subnational",1
"Kenya","KEN","national",1
"Kenya and Ethiopia","KEN,ETH","regional",1
"Kenya and Tanzania","KEN,TZA","regional",1
"Lake Chad Basin (Chad, Cameroon, Niger, Nigeria)","TCD,CMR,NER,NGA","transboundary",1
"Lake Victoria Basin (Uganda, Kenya, Tanzania, Rwanda, Burundi)","UGA,KEN,TZA,RWA,BDI","transboundary",1
"Latin America (Argentina, Colombia, Ecuador, Guatemala, Peru, Mexico)","ARG,COL,ECU,GTM,PER,MEX","regional",1
"Latin America (Chile, Mexico, Brazil, Peru, Colombia, etc.)","CHL,MEX,BRA,PER,COL","regional",1
"London (UK) and Rotterdam (Netherlands)","GBR,NLD","regional",1
"Lower Mekong Basin (Cambodia, Laos, Myanmar, Thailand, Vietnam)","KHM,LAO,MMR,THA,VNM","transboundary",1
"Mbarara District, Uganda","UGA","subnational",1
"Mediterranean Europe (Italy, Spain, Portugal)","ITA,ESP,PRT","regional",1
"Mexico; Peru; Chile","MEX,PER,CHL","regional",1
"Multiple jurisdictions used as best-practice examples; western USA; Spain; South Africa; Tanzania (Pangani River Basin); European Union (Water Framework Directive); Scotland; Chile; Australia (Victoria, NWI); Finland; also references to transboundary basins (Danube, Indus); Bangladesh","USA,ESP,ZAF,TZA,GBR,CHL,AUS,FIN,BGD","regional",1
"Mymensingh, Bangladesh","BGD","subnational",1
"Netherlands; Western Australia; South Africa","NLD,AUS,ZAF","regional",1
"Northwest Russia; Sweden","RUS,SWE","regional",1
"Northwestern Pakistan (Khyber Pakhtunkhwa)","PAK","subnational",1
"Okavango River Basin (Angola, Botswana, Namibia)","AGO,BWA,NAM","transboundary",1
"Predominantly USA; also Australia, Canada, South Africa and others","USA,AUS,CAN,ZAF","regional",1
"Republic of Korea","KOR","national",1
"Scotland (UK) and Norway","GBR,NOR","regional",1
"Singapore (reference context) and global urban areas","SGP","global",1
"Solomon Islands","SLB","national",1
"South America (Argentina, Brazil, Uruguay, Colombia, Chile)","ARG,BRA,URY,COL,CHL","regional",1
"South Asia (India, Pakistan, Bangladesh)","IND,PAK,BGD","regional",1
"Southern Chile (Ancud and Carelmapu)","CHL","subnational",1
"Southern Kenya–Northern Tanzania border region","KEN,TZA","transboundary",1
"SSRB Canada; Elqui River Basin Chile","CAN,CHL","regional",1
"Stellenbosch, South Africa","ZAF","subnational",1
"Sweden","SWE","national",1
"Sweden and Tanzania","SWE,TZA","regional",1
"Switzerland","CHE","national",1
"U.S.–Mexico border region","USA,MEX","transboundary",1
"United Arab Emirates (UAE)","ARE","national",1
"United Kingdom; European Union","GBR","regional",1
"United Kingdom; MediaCity, Salford Quays, Salford City, Manchester, UK (single case study site); comparative references to Masthusen, Sweden","GBR,SWE","subnational",1
"Vanuatu","VUT","national",1
"Vietnam","VNM","national",1
